Frequency,ChronicIllness,postcode
1,Anti-Coagulant,221
1,Anti-Coagulant,283
1,Anti-Coagulant,284
4,Anti-Coagulant,303
1,Anti-Coagulant,316
1,Anti-Coagulant,319
1,Anti-Coagulant,337
1,Anti-Coagulant,509
1,Anti-Coagulant,711
2,Anti-Coagulant,810
1,Anti-Coagulant,812
2,Anti-Coagulant,820
1,Anti-Coagulant,830
1,Anti-Coagulant,836
2,Anti-Coagulant,850
2,Anti-Coagulant,870
52,Anti-Coagulant,2100
34,Anti-Coagulant,2101
16,Anti-Coagulant,2102
55,Anti-Coagulant,2103
29,Anti-Coagulant,2104
7,Anti-Coagulant,2105
12,Anti-Coagulant,2106
14,Anti-Coagulant,2107
4,Anti-Coagulant,2108
24,Anti-Coagulant,2110
19,Anti-Coagulant,2111
98,Anti-Coagulant,2112
28,Anti-Coagulant,2113
30,Anti-Coagulant,2114
31,Anti-Coagulant,2115
10,Anti-Coagulant,2116
48,Anti-Coagulant,2117
63,Anti-Coagulant,2118
29,Anti-Coagulant,2119
73,Anti-Coagulant,2120
71,Anti-Coagulant,2121
32,Anti-Coagulant,2122
1,Anti-Coagulant,2124
41,Anti-Coagulant,2125
53,Anti-Coagulant,2126
4,Anti-Coagulant,2127
1,Anti-Coagulant,2128
10,Anti-Coagulant,2130
34,Anti-Coagulant,2131
23,Anti-Coagulant,2132
13,Anti-Coagulant,2133
18,Anti-Coagulant,2134
22,Anti-Coagulant,2135
14,Anti-Coagulant,2136
55,Anti-Coagulant,2137
11,Anti-Coagulant,2138
4,Anti-Coagulant,2140
19,Anti-Coagulant,2141
33,Anti-Coagulant,2142
18,Anti-Coagulant,2143
27,Anti-Coagulant,2144
185,Anti-Coagulant,2145
16,Anti-Coagulant,2146
140,Anti-Coagulant,2147
187,Anti-Coagulant,2148
4,Anti-Coagulant,2149
29,Anti-Coagulant,2150
27,Anti-Coagulant,2151
10,Anti-Coagulant,2152
54,Anti-Coagulant,2153
21,Anti-Coagulant,2154
42,Anti-Coagulant,2155
21,Anti-Coagulant,2156
1,Anti-Coagulant,2157
9,Anti-Coagulant,2158
2,Anti-Coagulant,2159
123,Anti-Coagulant,2160
61,Anti-Coagulant,2161
71,Anti-Coagulant,2162
26,Anti-Coagulant,2163
97,Anti-Coagulant,2164
91,Anti-Coagulant,2165
108,Anti-Coagulant,2166
27,Anti-Coagulant,2167
111,Anti-Coagulant,2168
258,Anti-Coagulant,2170
48,Anti-Coagulant,2171
1,Anti-Coagulant,2172
6,Anti-Coagulant,2173
3,Anti-Coagulant,2174
10,Anti-Coagulant,2175
137,Anti-Coagulant,2176
16,Anti-Coagulant,2177
10,Anti-Coagulant,2178
15,Anti-Coagulant,2179
1,Anti-Coagulant,2182
29,Anti-Coagulant,2190
4,Anti-Coagulant,2191
26,Anti-Coagulant,2192
20,Anti-Coagulant,2193
35,Anti-Coagulant,2194
35,Anti-Coagulant,2195
44,Anti-Coagulant,2196
76,Anti-Coagulant,2197
39,Anti-Coagulant,2198
22,Anti-Coagulant,2199
59,Anti-Coagulant,2200
43,Anti-Coagulant,2203
14,Anti-Coagulant,2204
15,Anti-Coagulant,2205
71,Anti-Coagulant,2206
28,Anti-Coagulant,2207
52,Anti-Coagulant,2208
40,Anti-Coagulant,2209
20,Anti-Coagulant,2210
71,Anti-Coagulant,2211
14,Anti-Coagulant,2212
127,Anti-Coagulant,2213
35,Anti-Coagulant,2214
63,Anti-Coagulant,2216
62,Anti-Coagulant,2217
13,Anti-Coagulant,2218
47,Anti-Coagulant,2219
21,Anti-Coagulant,2220
41,Anti-Coagulant,2221
3,Anti-Coagulant,2222
53,Anti-Coagulant,2223
21,Anti-Coagulant,2224
3,Anti-Coagulant,2225
16,Anti-Coagulant,2226
37,Anti-Coagulant,2227
35,Anti-Coagulant,2228
79,Anti-Coagulant,2229
82,Anti-Coagulant,2230
1,Anti-Coagulant,2231
56,Anti-Coagulant,2232
232,Anti-Coagulant,2233
16,Anti-Coagulant,2234
171,Anti-Coagulant,2250
50,Anti-Coagulant,2251
75,Anti-Coagulant,2256
87,Anti-Coagulant,2257
18,Anti-Coagulant,2258
198,Anti-Coagulant,2259
32,Anti-Coagulant,2260
180,Anti-Coagulant,2261
29,Anti-Coagulant,2262
57,Anti-Coagulant,2263
140,Anti-Coagulant,2264
37,Anti-Coagulant,2265
4,Anti-Coagulant,2267
2,Anti-Coagulant,2278
123,Anti-Coagulant,2280
10,Anti-Coagulant,2281
84,Anti-Coagulant,2282
94,Anti-Coagulant,2283
42,Anti-Coagulant,2284
48,Anti-Coagulant,2285
3,Anti-Coagulant,2286
101,Anti-Coagulant,2287
27,Anti-Coagulant,2289
129,Anti-Coagulant,2290
34,Anti-Coagulant,2291
8,Anti-Coagulant,2292
7,Anti-Coagulant,2293
4,Anti-Coagulant,2294
38,Anti-Coagulant,2295
2,Anti-Coagulant,2296
45,Anti-Coagulant,2298
7,Anti-Coagulant,2299
14,Anti-Coagulant,2300
28,Anti-Coagulant,2303
36,Anti-Coagulant,2304
30,Anti-Coagulant,2305
15,Anti-Coagulant,2306
2,Anti-Coagulant,2307
1,Anti-Coagulant,2311
2,Anti-Coagulant,2312
27,Anti-Coagulant,2315
12,Anti-Coagulant,2316
33,Anti-Coagulant,2317
68,Anti-Coagulant,2318
5,Anti-Coagulant,2319
84,Anti-Coagulant,2320
15,Anti-Coagulant,2321
141,Anti-Coagulant,2322
42,Anti-Coagulant,2323
34,Anti-Coagulant,2324
132,Anti-Coagulant,2325
13,Anti-Coagulant,2326
13,Anti-Coagulant,2327
8,Anti-Coagulant,2330
19,Anti-Coagulant,2333
4,Anti-Coagulant,2334
5,Anti-Coagulant,2335
10,Anti-Coagulant,2336
1,Anti-Coagulant,2337
11,Anti-Coagulant,2338
3,Anti-Coagulant,2339
174,Anti-Coagulant,2340
1,Anti-Coagulant,2341
2,Anti-Coagulant,2342
2,Anti-Coagulant,2343
2,Anti-Coagulant,2344
1,Anti-Coagulant,2345
7,Anti-Coagulant,2346
22,Anti-Coagulant,2347
20,Anti-Coagulant,2350
6,Anti-Coagulant,2352
20,Anti-Coagulant,2354
1,Anti-Coagulant,2355
16,Anti-Coagulant,2357
4,Anti-Coagulant,2358
1,Anti-Coagulant,2359
10,Anti-Coagulant,2360
4,Anti-Coagulant,2365
15,Anti-Coagulant,2370
4,Anti-Coagulant,2371
1,Anti-Coagulant,2377
1,Anti-Coagulant,2379
49,Anti-Coagulant,2380
7,Anti-Coagulant,2381
2,Anti-Coagulant,2382
1,Anti-Coagulant,2386
9,Anti-Coagulant,2388
45,Anti-Coagulant,2390
1,Anti-Coagulant,2395
2,Anti-Coagulant,2397
3,Anti-Coagulant,2400
1,Anti-Coagulant,2402
1,Anti-Coagulant,2415
17,Anti-Coagulant,2420
1,Anti-Coagulant,2421
2,Anti-Coagulant,2422
14,Anti-Coagulant,2423
1,Anti-Coagulant,2424
2,Anti-Coagulant,2425
3,Anti-Coagulant,2427
86,Anti-Coagulant,2428
8,Anti-Coagulant,2429
54,Anti-Coagulant,2430
9,Anti-Coagulant,2431
131,Anti-Coagulant,2440
21,Anti-Coagulant,2441
5,Anti-Coagulant,2443
46,Anti-Coagulant,2444
1,Anti-Coagulant,2446
36,Anti-Coagulant,2447
33,Anti-Coagulant,2448
38,Anti-Coagulant,2449
135,Anti-Coagulant,2450
134,Anti-Coagulant,2452
1,Anti-Coagulant,2453
34,Anti-Coagulant,2454
39,Anti-Coagulant,2455
96,Anti-Coagulant,2456
135,Anti-Coagulant,2460
4,Anti-Coagulant,2461
12,Anti-Coagulant,2462
67,Anti-Coagulant,2463
70,Anti-Coagulant,2464
2,Anti-Coagulant,2465
1,Anti-Coagulant,2466
4,Anti-Coagulant,2469
108,Anti-Coagulant,2470
7,Anti-Coagulant,2472
40,Anti-Coagulant,2473
2,Anti-Coagulant,2474
1,Anti-Coagulant,2476
3,Anti-Coagulant,2477
73,Anti-Coagulant,2478
3,Anti-Coagulant,2479
65,Anti-Coagulant,2480
3,Anti-Coagulant,2481
16,Anti-Coagulant,2483
17,Anti-Coagulant,2484
48,Anti-Coagulant,2485
234,Anti-Coagulant,2486
56,Anti-Coagulant,2487
10,Anti-Coagulant,2488
11,Anti-Coagulant,2489
50,Anti-Coagulant,2500
25,Anti-Coagulant,2502
7,Anti-Coagulant,2505
7,Anti-Coagulant,2506
7,Anti-Coagulant,2508
15,Anti-Coagulant,2515
9,Anti-Coagulant,2516
37,Anti-Coagulant,2517
11,Anti-Coagulant,2518
4,Anti-Coagulant,2519
1,Anti-Coagulant,2520
43,Anti-Coagulant,2525
8,Anti-Coagulant,2526
9,Anti-Coagulant,2527
29,Anti-Coagulant,2528
60,Anti-Coagulant,2529
137,Anti-Coagulant,2530
65,Anti-Coagulant,2533
2,Anti-Coagulant,2534
27,Anti-Coagulant,2535
181,Anti-Coagulant,2536
61,Anti-Coagulant,2537
9,Anti-Coagulant,2538
111,Anti-Coagulant,2539
89,Anti-Coagulant,2540
86,Anti-Coagulant,2541
6,Anti-Coagulant,2545
86,Anti-Coagulant,2546
82,Anti-Coagulant,2548
